year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,state_province,country,start,gateway_enter,gateway_exit,melgeorges_enter,melgeorges_exit,myrtle_lake_enter,myrtle_lake_exit,crescent_enter,crescent_exit,ski_pulk_enter,ski_pulk_exit,finish_time,overall_duration,comments,unsupported
2020,Run,999,"Amaral, Marcio Villar Do",Amaral,Marcio,,,2,BRA BRA,,,,1/27 07:04,1/27 19:15,,,,,,,,,,,,Gateway,
2009,Bike,,,Ames,Greg,M,28,35,,,,,2/2/2009 7:32,2/2/2009 12:37,2/2/2009 13:33,2/2/2009 7:41,2/2/2009 11:39,,,,,,,2/3/2009 12:41,29:09:00,"6B, sixth overall",
2012,Bike,15,GREG AMES,Ames,Greg,,,27,ND USA,,,,1/30 07:00,1/30 11:12,1/30 11:36,1/30 17:22,1/30 18:15,,,,,1/31 01:16,1/31 01:29,1/31 05:33,22:33:00,,
2011,Bike,12,GREG AMES,Ames,Greg,,,24,,,,,1/31 07:00,1/31 11:40,1/31 12:19,1/31 18:07,1/31 19:00,,,,,2/28 02:49,2/1 04:21,2/1 08:40,25:40:00,,
2014,Bike,13,GREG AMES,Ames,Greg,,,59,ND USA,,,,1/27 07:00,1/27 12:03,1/27 13:06,1/27 19:09,1/27 22:07,,,,,1/28 12:19,1/28 13:05,1/28 16:32,33:32:00,,
2013,Bike,999,GREG AMES,Ames,Greg,,,38,ND USA,,,,1/28 07:00,1/28 11:21,1/28 11:56,1/28 17:17,1/28 18:54,,,,,,,,,Dropped at SkiPulk,
2010,Bike,,,Ames,Greg,M,29,6,,,,,2/1/2010 7:03,2/1/2010 12:34,2/1/2010 13:20,2/1/2010 22:48,,,,,,,,,,MelGeorges,
2015,Bike,39,"Amo, Bryon",Amo,Bryon,,,3,MN USA,,,,1/26 07:00,1/26 11:56,1/26 12:10,1/26 18:44,1/26 19:11,,,,,1/27 04:37,1/27 04:50,1/27 09:11,26:11:00,,
2022,Run,22,"Amodio, Silvia",Amodio,Silvia,,,4,ESP ESP,,,,1/31 07:04,1/31 17:50,1/31 18:30,2/1 08:40,2/1 09:40,,,,,2/2 03:25,2/2 05:48,2/2 12:29,53:25:00,,
2015,Run,40,"Anderson, Blair",Anderson,Blair,,,4,Canada,,,,1/26 07:04,1/26 18:07,1/26 19:16,1/27 08:43,1/27 11:01,,,,,1/28 05:35,1/28 07:13,1/28 16:48,57:44:00,,
2016,Run,999,"Anderson, Blair",Anderson,Blair,,,2,SAS CAN,,,,1/25 07:04,1/25 18:31,1/25 19:20,1/26 12:07,,,,,,,,,,,
2010,Foot,,,Anderson,Blair,M,56,53,,,,,2/1/2010 7:03,2/1/2010 18:10,,2/2/2010 6:54,2/2/2010 11:15,,,,,,,,,Crescent tipi,
2011,Run,999,D. BLAIR ANDERSON,Anderson,Blair,,,83,,,,,1/31 07:01,1/31 19:10,1/31 20:37,,,,,,,,,,,Drop,
2015,Bike,56,"ANDERSON, RANDY",Anderson,Randy,,,5,MN USA,,,,1/26 07:00,1/26 12:00,1/26 12:38,1/26 20:16,1/27 03:03,,,,,1/27 13:10,1/27 13:58,1/27 18:39,35:39:00,,
2012,Bike,45,RANDY ANDERSON,Anderson,Randy,,,51,MN USA,,,,1/30 07:00,1/30 12:37,1/30 13:37,1/30 22:22,1/31 06:08,,,,,1/31 17:35,1/31 18:02,1/31 23:37,40:37:00,Actual finish was 22:37 but incurred 1 hr penalty due to (accidental) loss of equipment,
2013,Bike,999,RANDY ANDERSON,Anderson,Randy,,,74,MN USA,,,,1/28 07:00,1/28 13:27,1/28 14:14,1/28 21:15,,,,,,,,,,Dropped at MelGeorge,
2012,Run,28,RYAN ANDERSON,Anderson,Ryan,,,120,MANITOBA CANADA,,,,1/30 07:04,1/30 18:59,1/30 20:48,1/31 12:20,1/31 13:56,,,,,2/1 09:48,2/1 10:20,2/1 19:03,59:59:00,Incurred +10 min penalty due to change of equipment.,
2011,Run,999,RYAN ANDERSON,Anderson,Ryan,,,126,,,,,1/31 07:01,1/31 18:20,1/31 20:47,,,,,,,,,,,Dropped,
2010,Foot,,,Anderson,Ryan,M,31,54,,,,,2/1/2010 7:03,2/1/2010 17:46,,2/2/2010 8:26,2/2/2010 10:54,,,,,,,,,MelGeorges,
2023,Bike,22,"Anderson, Zachary",Anderson,Zachary,,,4,USA/MN,,,,1/30/2023 7:00,1/30/2023 12:02,1/30/2023 12:25,1/30/2023 17:57,1/30/2023 19:40,,,,,1/31/2023 4:19,1/31/2023 6:21,1/31/2023 10:32,,,
2010,Bike,,,Andre,Lance,M,40,33,,,,,2/1/2010 7:03,2/1/2010 10:54,2/1/2010 10:54,2/1/2010 15:00,2/1/2010 15:31,,,,2/1/2010 21:20,2/1/2010 21:38,2/2/2010 0:00,,16:57:00,,
2009,Bike,,,Andre,Lance,M,39,9,,,,,2/2/2009 8:15,2/2/2009 12:02,2/2/2009 12:07,2/2/2009 16:45,2/2/2009 17:30,,,,,,,2/3/2009 12:09,27:54:00,DQ,
2008,Bike,,,Andre,Lance,M,38,31,,,,,2/4/2008 7:20,2/4/2008 12:09,2/4/2008 12:15,2/5/2008 4:29,2/5/2008 4:29,,,,,,,2/5/2008 16:15,32:55:00,,
2011,Bike,6,LANCE ANDRE,Andre,Lance,,,2,,,,,1/31 07:00,1/31 10:55,1/31 10:58,1/31 15:03,1/31 15:13,,,,,1/31 21:22,1/31 23:52,2/1 02:38,19:38:00,,
2013,Bike,27,LANCE ANDRE,Andre,Lance,,,60,IA USA,,,,1/28 07:00,1/28 11:28,1/28 11:35,1/28 16:29,1/28 17:15,,,,,1/29 01:32,1/29 02:26,1/29 13:11,30:11:00,,
2020,Run,8,"Andrews, Tim",Andrews,Tim,,,3,MN USA,,,,1/27 07:04,1/27 16:40,1/27 16:55,1/28 03:15,1/28 06:01,,,,,1/28 18:47,1/28 18:53,1/29 02:16,43:12:00,,
2012,Run,22,STEVE ANSELL,Ansell,Steve,,,124,CA USA,,,,1/30 07:04,1/30 18:09,1/30 18:45,1/31 10:14,1/31 11:00,,,,,2/1 07:01,2/1 07:41,2/1 15:56,56:52:00,,
2014,Run,999,Steve Ansell,Ansell,Steve,,,149,CA USA,,,,1/27 07:04,1/27 19:13,1/27 20:24,1/28 11:30,1/28 12:48,,,,,,,,,Dropped at MelGeorge (returned),
2010,Foot,,,Appert,John,M,31,55,,,,,2/1/2010 7:03,2/1/2010 19:25,,2/2/2010 11:13,,,,,,,,,,MelGeorges,
2017,Bike,64,"Archibald, Geoffrey",Archibald,Geoffrey,,,2,MN USA,,,,1/30 07:00,1/30 11:10,1/30 11:19,1/30 17:08,1/30 23:25,,,,,1/31 10:17,1/31 10:33,1/31 15:13,32:13:00,,
2012,Bike,999,GEOFFREY ARCHIBALD,Archibald,Geoffrey,,,26,MN USA,,,,1/30 07:00,1/30 12:49,1/30 13:18,1/30 22:24,1/31 06:37,,,,,,,,,,
2013,Bike,999,GEOFFREY ARCHIBALD,Archibald,Geoffrey,,,36,MN USA,,,,1/28 07:00,1/28 13:35,1/28 14:09,1/28 20:46,,,,,,,,,,Dropped at MelGeorge,
2014,Bike,999,GEOFFREY ARCHIBALD,Archibald,Geoffrey,,,58,MN USA,,,,1/27 07:00,1/27 16:52,,,,,,,,,,,,Dropped at Gateway - mech,
2010,Bike,,,Arel,Christian,M,17,56,,,,,2/1/2010 7:03,2/1/2010 14:10,2/1/2010 16:05,,,,,,2/2/2010 22:31,2/3/2010 9:05,2/3/2010 12:02,,52:59:00,Youngest finisher,
2018,Bike,31,"Arenz, Devin",Arenz,Devin,,,2,MN USA,,,,1/29 07:02,1/29 10:42,1/29 10:42,1/29 16:49,1/29 19:07,,,,,1/30 02:13,1/30 05:10,1/30 09:04,26:02:00,,
2015,Bike,8,"Armano, Nick",Armano,Nick,,,6,CO USA,,,,1/26 07:00,1/26 10:33,1/26 10:41,1/26 15:02,1/26 15:10,,,,,1/26 21:12,1/26 21:17,1/26 23:51,16:51:00,,
2009,Ski,,,Arms,Brian,M,26,36,,,,,2/2/2009 7:36,2/2/2009 17:45,2/2/2009 18:45,,,,,,,,,,,DNF,
2008,Foot,,,Arnold,Michael,M,24,32,,,,,,,,,,,,,,,,,,No Start DNS,
2013,Bike,999,TIM ARNOLD,Arnold,Tim,,,90,NM USA,,,,1/28 07:00,1/28 14:37,1/28 15:58,1/29 14:00,,,,,,,,,,Dropped at MelGeorge,
2022,Bike,23,"Aspras, Jimmy",Aspras,Jimmy,,,8,NJ USA,,,,1/31 07:00,1/31 11:26,1/31 11:26,1/31 17:40,1/31 19:00,,,,,2/1 03:55,2/1 03:55,2/1 08:08,25:08:00,,TRUE
2018,Bike,50,"Aspras, Jimmy",Aspras,Jimmy,,,3,NJ USA,,,,1/29 07:02,1/29 12:03,1/29 12:30,1/29 18:20,1/30 07:42,,,,,1/30 15:16,1/30 16:06,1/30 20:55,37:53:00,,
2019,Bike,38,"Attwood, Gavin",Attwood,Gavin,,,103,CO USA,,,,1/28 07:00,1/28 12:20,1/28 12:55,1/28 19:34,1/29 06:52,,,,,1/29 17:12,1/29 19:33,1/30 01:30,42:30:00,,
2018,Bike,999,"Attwood, Gavin",Attwood,Gavin,,,4,CO USA,,,,1/29 07:02,1/29 12:16,1/29 13:30,1/29 19:39,1/29 23:07,,,,,1/30 12:34,,,,Drop at Surly,
2009,Bike,,,Austin,Joel,M,29,37,,,,,2/2/2009 8:25,2/2/2009 16:10,2/2/2009 16:45,2/3/2009 4:07,2/3/2009 8:15,,,,,,,2/4/2009 0:06,39:41:00,"12B, 12th overall",
2011,Bike,24,JOEL AUSTIN,Austin,Joel,,,34,,,,,1/31 07:00,1/31 13:26,1/31 13:26,1/31 20:44,1/31 22:13,,,,,2/1 11:00,2/1 12:33,2/1 16:30,33:30:00,,
2013,Bike,999,JOEL AUSTIN,Austin,Joel,,,51,WI USA,,,,1/28 07:00,1/28 15:34,1/28 16:49,1/29 13:05,,,,,,,,,,Dropped at MelGeorge,
2015,Bike,999,"Austin, Joel",Austin,Joel,,,7,WI USA,,,,1/26 07:00,1/26 14:11,1/26 15:16,1/27 02:14,,,,,,,,,,dropped at MelGeorge,
2016,Run,999,"Austin, Simone",Austin,Simone,,,3,FL USA,,,,1/25 07:04,1/25 19:11,1/25 20:08,1/26 12:42,1/26 12:53,,,,,,,,,just b/f Surly,
2017,Run,0,"Austin, Simone",Austin,Simone,,,3,FL USA,,,,1/30 07:04,1/30 18:43,1/30 19:54,,,,,,,,,,,Drop at MelGeorges,
2020,Bike,71,"Baccelli, Frank",Baccelli,Frank,,,4,CA USA,,,,1/27 07:00,1/27 12:48,1/27 13:57,1/27 22:51,1/28 06:00,,,,,1/28 18:27,1/28 19:35,1/29 02:08,43:08:00,,
2019,Bike,999,"Baccelli, Frank",Baccelli,Frank,,,4,CA USA,,,,1/28 07:00,1/28 14:25,1/28 15:45,1/29 03:15,,,,,,,,,,,
2018,Run,999,"Bahr, Bob",Bahr,Bob,,,5,MN USA,,,,1/29 07:06,1/29 14:45,1/29 14:49,1/30 00:51,,,,,,,,,,Dropped at Mel George,
2020,Run,999,"Bahr, Bob",Bahr,Bob,,,5,MN USA,,,,1/27 07:04,1/27 15:20,1/27 15:30,,,,,,,,,,,b/f MelGeorges,
2015,Run,4,"BAILEY, Steven",Bailey,Steven,,,8,MN USA,,,,1/26 07:04,1/26 14:52,1/26 15:17,1/27 00:35,1/27 01:14,,,,,1/27 14:21,1/27 14:37,1/27 22:19,39:15:00,,
2013,Run,999,STEVEN BAILEY,Bailey,Steven,,,142,MN USA,,,,1/28 07:04,1/28 17:16,,,,,,,,,,,,Dropped at Gateway - physical,
2018,Run,999,"Baluchi, Reza",Baluchi,Reza,,,6,FL USA,,,,1/29 07:06,1/29 18:32,,,,,,,,,,,,Dropped at Gateway,TRUE
2012,Run,999,REZA BALUCHI,Baluchi,Reza,,,114,CA USA,,,,1/30 07:04,1/30 17:33,1/30 18:39,,,,,,,,,,,DNF at MelGeorge,
2018,Run,999,"Bandieri, Rachel Frei",Bandieri,Rachel Frei,,,7,SUI,,,,1/29 07:06,1/29 16:34,1/29 19:51,1/30 02:25,,,,,,,,,,Drop at Sheep Ranch Rd,
2017,Bike,13,"Barclay, Kurtis",Barclay,Kurtis,,,4,MN USA,,,,1/30 07:00,1/30 09:59,1/30 09:59,1/30 14:00,1/30 14:22,,,,,1/30 19:50,1/30 20:01,1/30 23:41,16:41:00,,
2016,Bike,39,"Barclay, Kurtis",Barclay,Kurtis,,,4,MN USA,,,,1/25 07:00,1/25 11:43,1/25 12:26,1/25 19:51,1/25 22:50,,,,,1/26 13:30,1/26 13:51,1/26 18:47,35:47:00,,
2018,Bike,999,"Barclay, Kurtis",Barclay,Kurtis,,,8,MN USA,,,,1/29 07:02,1/29 11:17,,,,,,,,,,,,Dropped at Gateway,
2022,Run,999,"Barnes, Shaun",Barnes,Shaun,,,181,,,,,1/31 07:04,1/31 18:35,1/31 19:35,2/1 10:55,,,,,,,,,,,
2023,Foot,999,"Barnes, Shaun",Barnes,Shaun,,,5,USA/WI,,,,1/30/2023 7:04,1/30/2023 17:45,1/30/2023 18:39,1/31/2023 7:46,,,,,,,,,,Drop at MelGeorge's,
2019,Bike,24,"Barnhouse, J.b.",Barnhouse,James,,,5,IA USA,,,,1/28 07:00,1/28 11:25,1/28 11:40,1/28 16:45,1/28 19:00,,,,,1/29 01:15,1/29 04:15,1/29 08:23,25:23:00,,
2018,Bike,21,"Barnhouse, James",Barnhouse,James,,,9,IA USA,,,,1/29 07:02,1/29 10:55,1/29 11:20,1/29 15:40,1/29 15:50,,,,,1/29 23:53,1/30 01:40,1/30 06:01,22:59:00,,
2017,Bike,48,"Barnhouse, James",Barnhouse,James,,,5,IA USA,,,,1/30 07:00,1/30 11:12,1/30 11:28,1/30 16:24,1/30 19:06,,,,,1/31 02:23,1/31 03:39,1/31 07:18,24:18:00,,
2015,Bike,40,"Barnhouse, James",Barnhouse,James,,,9,IA USA,,,,1/26 07:00,1/26 11:30,1/26 12:15,1/26 17:43,1/26 21:42,,,,,1/27 05:00,1/27 06:35,1/27 10:06,27:06:00,,
2016,Bike,999,"Barnhouse, James",Barnhouse,James,,,5,IA USA,,,,1/25 07:00,1/25 12:21,1/25 13:21,1/25 21:48,,,,,,,,,,,
2010,Bike,,,Basinger,Peter,M,29,58,,,,,2/1/2010 7:03,2/1/2010 10:48,2/1/2010 10:48,2/1/2010 14:05,2/1/2010 15:19,,,,2/1/2010 20:55,2/1/2010 21:05,2/1/2010 23:20,,16:17:01,,
2023,Bike,28,"Battiston, Matthew",Battiston,Matthew,,,6,USA/KS,,,,1/30/2023 7:00,1/30/2023 15:00,1/30/2023 15:00,1/30/2023 21:54,1/31/2023 2:54,,,,,1/31/2023 8:40,1/31/2023 8:53,1/31/2023 14:20,,,TRUE
2022,Bike,30,"Battiston, Matthew",Battiston,Matthew,,,9,KS USA,,,,1/31 07:00,1/31 11:43,1/31 12:05,1/31 19:10,1/31 19:39,,,,,2/1 06:02,2/1 06:15,2/1 11:34,28:34:00,,
2009,Ski,,,Baxter,Greg,M,24,38,,,,,2/2/2009 7:36,2/2/2009 17:45,2/2/2009 18:45,,,,,,,,,,,DNF,
2018,Bike,29,"Beadle, Whitney",Beadle,Whitney,,,10,WI USA,,,,1/29 07:02,1/29 10:48,1/29 11:55,1/29 16:53,1/29 17:28,,,,,1/30 00:55,1/30 02:17,1/30 08:42,25:40:00,,
2012,Bike,31,TIMOTHY BEKKE,Bekke,Timothy,,,61,MN USA,,,,1/30 07:00,1/30 11:34,1/30 12:28,1/30 18:49,1/30 20:20,,,,,1/31 10:15,1/31 10:35,1/31 14:19,31:19:00,,
2011,Bike,999,TIMOTHY BEKKE,Bekke,Timothy,,,59,,,,,1/31 07:00,,,,,,,,,,,,,dropped/medical/OK,
2014,Bike,999,TIMOTHY BEKKE,Bekke,Timothy,,,162,MN USA,,,,1/27 07:00,1/27 12:25,1/27 14:12,1/27 20:44,,,,,,,,,,Dropped at MelGeorge,
2019,Bike,2,"Beltchenko, Neil",Beltchenko,Neil,,,8,MN USA,,,,1/28 07:00,1/28 09:52,1/28 09:52,1/28 13:25,1/28 13:42,,,,,1/28 18:00,1/28 18:03,1/28 20:27,13:27:00,1st unsupported men's biker,TRUE
2020,Bike,1,"Beltchenko, Neil",Beltchenko,Neil,,,7,MN USA,,,,1/27 07:00,1/27 09:58,1/27 09:58,1/27 13:43,1/27 13:43,,,,,1/27 18:26,1/27 18:26,1/27 21:03,14:03:00,1st male biker and unsupported!,TRUE
2014,Bike,999,Neil Beltchenko,Beltchenko,Neil,,,119,CO USA,,,,1/27 07:00,1/27 11:52,,,,,,,,,,,,Dropped at Gateway,
2010,Bike,,,Benetti,Aaron,M,33,59,,,,,2/1/2010 7:03,2/1/2010 13:23,2/1/2010 14:20,2/2/2010 3:20,2/2/2010 4:15,,,,2/2/2010 14:47,2/2/2010 15:41,2/2/2010 18:19,,35:16:00,,
2015,Bike,999,"Benetti, Aaron",Benetti,Aaron,,,10,MO USA,,,,1/26 07:00,1/26 12:34,1/26 12:43,1/26 20:21,1/27 05:40,,,,,,,,,dropped after MelGeorge,
2017,Bike,0,"Benetti, Aaron",Benetti,Aaron,,,7,MO USA,,,,1/30 07:00,1/30 13:13,1/30 13:51,,,,,,,,,,,Drop at Sheep Ranch Rd,
2023,Bike,999,"Benetti, Aaron",Benetti,Aaron,,,7,USA/MO,,,,1/30/2023 7:00,1/30/2023 13:47,1/30/2023 15:08,,,,,,,,,,,Bike issues,
2023,Bike,999,"Benetti, Donovan",Benetti,Donovan,,,8,USA/MO,,,,1/30/2023 7:00,1/30/2023 13:27,1/30/2023 15:08,,,,,,,,,,,Bike issues,
2022,Run,23,"Bengolea, Hector",Bengolea,Hector,,,10,ARG ARG,,,,1/31 07:04,1/31 18:05,1/31 18:50,2/1 08:48,2/1 09:35,,,,,2/2 01:58,2/2 03:50,2/2 13:44,54:40:00,,
2006,Foot,16,,Benike,Jim,M ,56,9,,,,USA,2/6/2006 7:00,,,2/7/2006 5:29,2/7/2006 8:37,,,,,,,2/8/2006 13:45,54:45:00,,
2020,Run,999,"Benkers, Adam",Benkers,Adam,,,8,IL USA,,,,1/27 07:04,1/27 18:05,,,,,,,,,,,,Gateway,
2017,Bike,10,"Berggren, Marcus",Berggren,Marcus,,,8,FL USA,,,,1/30 07:00,1/30 09:53,1/30 09:53,1/30 13:46,1/30 13:46,,,,,1/30 19:32,1/30 19:32,1/30 23:19,16:19:00,,TRUE
2019,Bike,33,"Berggren, Marcus",Berggren,Marcus,,,9,FL USA,,,,1/28 07:00,1/28 11:20,1/28 11:57,1/28 17:50,1/28 23:09,,,,,1/29 07:35,1/29 10:05,1/29 14:55,31:55:00,,
2015,Run,1,"Berggren, Marcus",Berggren,Marcus,,,11,Sweden,,,,1/26 07:04,1/26 14:31,1/26 14:39,1/26 23:48,1/26 23:58,,,,,1/27 10:50,1/27 10:53,1/27 17:24,34:20:00,New record by just under 3 hrs!,
2020,Ski,4,"Berggren, Marcus",Berggren,Marcus,,,9,FL USA,,,,1/27 07:02,1/27 12:49,1/27 13:36,1/27 21:45,1/28 00:00,,,,,1/28 11:26,1/28 13:22,1/28 19:54,36:52:00,,
2016,Run,3,"Berggren, Marcus",Berggren,Marcus,,,7,SWED,,,,1/25 07:04,1/25 15:13,1/25 15:25,1/26 02:42,1/26 02:55,,,,,1/26 15:55,1/26 16:05,1/26 23:50,40:46:00,,
2018,Ski,999,"Berggren, Marcus",Berggren,Marcus,,,11,FL USA,,,,1/29 07:04,1/29 12:43,1/29 14:24,1/29 20:36,,,,,,,,,,Drop at MelGeorge,
2018,Bike,45,"Berglund, Erv",Berglund,Erwin,,,12,MN USA,,,,1/29 07:02,1/29 11:45,1/29 12:37,1/29 18:36,1/29 21:03,,,,,1/30 11:32,1/30 13:11,1/30 18:43,35:41:00,15 min penalty for loss of equipment/ clothing,
2014,Bike,23,ERWIN BERGLUND,Berglund,Erwin,,,54,MN USA,,,,1/27 07:00,1/27 12:17,1/27 13:55,1/27 20:55,1/28 05:25,,,,,1/28 14:37,1/28 15:52,1/28 19:54,36:54:00,,
2012,Bike,40,ERWIN BERGLUND,Berglund,Erwin,,,23,MN USA,,,,1/30 07:00,1/30 12:39,1/30 13:30,1/30 22:21,1/31 04:56,,,,,1/31 15:40,1/31 16:32,1/31 20:55,37:55:00,,
2013,Bike,999,ERWIN BERGLUND,Berglund,Erwin,,,33,MN USA,,,,1/28 07:00,1/28 13:14,1/28 13:58,1/28 22:18,,,,,,,,,,Dropped at MelGeorge,
2016,Bike,999,"Berglund, Erwin",Berglund,Erwin,,,8,MN USA,,,,1/25 07:00,1/25 13:54,1/25 15:05,,,,,,,,,,,Dropped at SRR,
2007,Bike,999,,Bernhard,Mike,M ,45,36,,,,USA,2/5/2007 7:53,,,2/6/2007 15:42,,,,,,,,,,,
2015,Bike,2,"Berntson, Tim",Berntson,Tim,,,12,AK USA,,,,1/26 07:00,1/26 10:30,1/26 10:30,1/26 14:25,1/26 14:32,,,,,1/26 19:36,1/26 19:39,1/26 22:00,15:00:01,,
2012,Bike,2,TIM BERNTSON,Berntson,Tim,,,59,AK USA,,,,1/30 07:00,1/30 10:26,1/30 10:26,1/30 14:43,1/30 14:46,,,,,1/30 19:46,1/30 19:50,1/30 22:51,15:51:47,,
2014,Run,8,David Berridge,Berridge,David,,,42,Isle of Wright UK,,,,1/27 07:04,1/27 17:17,1/27 18:28,1/28 07:03,1/28 09:08,,,,,1/28 23:40,1/29 00:51,1/29 10:08,51:04:00,,
2012,Run,6,JOHN BERTRAM,Bertram,John,,,97,OH USA,,,,1/30 07:04,1/30 16:07,1/30 17:11,1/31 04:28,1/31 08:17,,,,,1/31 22:11,1/31 23:09,2/1 06:56,47:52:00,,
2015,Run,16,"BERTRAM, JOHN",Bertram,John,,,13,USA,,,,1/26 07:04,1/26 17:02,1/26 18:31,1/27 06:17,1/27 08:49,,,,,1/27 23:08,1/28 00:31,1/28 09:01,49:57:00,,
2011,Run,7,JOHN BERTRAM,Bertram,John,,,102,,,,,1/31 07:01,1/31 15:49,1/31 16:41,2/1 04:18,2/1 08:40,,,,,2/2 01:20,2/2 04:44,2/2 11:55,52:54:00,,
2016,Run,15,"Bertram, John",Bertram,John,,,9,OH USA,,,,1/25 07:04,1/25 17:22,1/25 18:20,1/26 07:17,1/26 09:44,,,,,1/27 01:30,1/27 03:10,1/27 12:24,53:20:00,,
2017,Run,32,"Bertram, John",Bertram,John,,,10,OH USA,,,,1/30 07:04,1/30 16:44,1/30 17:30,1/31 05:50,1/31 08:22,,,,,2/1 01:06,2/1 04:02,2/1 14:44,55:40:00,,
2013,Run,5,JOHN BERTRAM,Bertram,John,,,101,OH USA,,,,1/28 07:04,1/28 16:07,1/28 17:01,1/29 09:22,1/29 11:50,,,,,1/30 08:10,1/30 08:30,1/30 17:21,58:17:00,,
2014,Run,999,JOHN BERTRAM,Bertram,John,,,83,OH USA,,,,1/27 07:04,1/27 16:14,,,,,,,,,,,,Dropped at Gateway,
2011,Bike,8,HEATHER BEST,Best,Heather,,,25,,,,,1/31 07:00,1/31 11:12,1/31 11:20,1/31 16:01,1/31 17:18,,,,,1/31 23:38,2/1 00:39,2/1 03:14,20:14:00,Shatters Women's Arrowhead Record by 6+ hrs!,
2014,Run,11,Divesh Bhatt,Bhatt,Divesh,,,48,GA USA,,,,1/27 07:04,1/27 17:34,1/27 20:05,1/28 08:20,1/28 11:22,,,,,1/29 02:40,1/29 03:00,1/29 10:40,51:36:00,,
