year,category,position,name,lastname,firstname,gender,age,bib,state_province_country,city,country,start_time,gateway_enter_time,gateway_exit_time,gateway_time_duration,melgeorges_enter_time,melgeorges_exit_time,melgeorges_time_duration,myrtle_lake_enter_time,myrtle_lake_exit_time,myrtle_lake_time_duration,crescent_enter_time,crescent_exit_time,crescent__time_duration,ski_pulk_enter_time,ski_pulk_exit_time,ski_pulk_time_duration,finish_time,overall_time_duration,overall_time_duration_computed,comments,unsupported
2023,Bike,10,"Adrian, Pat",Adrian,Pat,,,1,USA/MN,,,2023-01-30T07:00:00.0000000,2023-01-30T11:34:00.0000000,2023-01-30T12:14:00.0000000,0:40:00,2023-01-30T17:11:00.0000000,2023-01-30T18:20:00.0000000,1:09:00,,,,,,,2023-01-31T00:25:00.0000000,2023-01-31T00:35:00.0000000,0:10:00,2023-01-31T03:48:00.0000000,,20:48:00,,
2023,Foot,999,"Aili, Danni",Aili,Danni,,,3,USA/MN,,,2023-01-30T07:04:00.0000000,2023-01-30T19:07:00.0000000,2023-01-30T20:19:00.0000000,1:12:00,,,,,,,,,,,,,,,,Dropped at Leslie Rd,
2012,Run,17,ROBERTO ALDOVINI,Aldovini,Roberto,,,117,BRESCIA ITALY,,,2012-01-30T07:04:00.0000000,2012-01-30T17:30:00.0000000,2012-01-30T19:03:00.0000000,1:33:00,2012-01-31T08:29:00.0000000,2012-01-31T10:03:00.0000000,1:34:00,,,,,,,2012-02-01T05:13:00.0000000,2012-02-01T06:11:00.0000000,0:58:00,2012-02-01T14:20:00.0000000,55:16:00,55:16:00,,
2010,Foot,,,Aldovini,Roberto,M,37,52,,,,2010-02-01T07:03:00.0000000,2010-02-01T17:23:00.0000000,2010-02-01T18:47:00.0000000,1:24:00,2010-02-02T07:37:00.0000000,2010-02-02T11:22:00.0000000,3:45:00,,,,,,,,,,,,,Crescent tipi,
2015,Run,20,"Alldredge, Kevin",Alldredge,Kevin,,,2,MN USA,,,2015-01-26T07:04:00.0000000,2015-01-26T17:31:00.0000000,2015-01-26T18:13:00.0000000,0:42:00,2015-01-27T05:50:00.0000000,2015-01-27T08:35:00.0000000,2:45:00,,,,,,,2015-01-27T23:20:00.0000000,2015-01-28T00:21:00.0000000,1:01:00,2015-01-28T10:45:00.0000000,51:41:00,51:41:00,,
2011,Run,15,MARCIO VILLAR DO AMARAL,Amaral,Marcio,,,114,,,,2011-01-31T07:01:00.0000000,2011-01-31T16:30:00.0000000,2011-01-31T18:12:00.0000000,1:42:00,2011-02-01T06:46:00.0000000,2011-02-01T10:03:00.0000000,3:17:00,,,,,,,2011-02-02T04:42:00.0000000,2011-02-02T07:05:00.0000000,2:23:00,2011-02-02T13:52:00.0000000,54:51:00,54:51:00,,
2013,Run,999,MARCIO VILLAR DO AMARAL,Amaral,Marcio,,,130,BRAZIL,,,2013-01-28T07:04:00.0000000,,,,,,,,,,,,,,,,,,,Dropped b/f Gatway - physical,
2019,Run,999,"Amaral, Marcio Villar Do",Amaral,Marcio,,,2,BRA BRA,,,2019-01-28T07:04:00.0000000,2019-01-28T19:35:00.0000000,2019-01-28T20:25:00.0000000,0:50:00,,,,,,,,,,,,,,,,,
2020,Run,999,"Amaral, Marcio Villar Do",Amaral,Marcio,,,2,BRA BRA,,,2020-01-27T07:04:00.0000000,2020-01-27T19:15:00.0000000,,,,,,,,,,,,,,,,,,Gateway,
2009,Bike,,,Ames,Greg,M,28,35,,,,2009-02-02T07:32:00.0000000,2009-02-02T12:37:00.0000000,2009-02-02T13:33:00.0000000,0:56:00,2009-02-02T07:41:00.0000000,2009-02-02T11:39:00.0000000,3:58:00,,,,,,,,,,2009-02-03T12:41:00.0000000,29:09:00,29:09:00,"6B, sixth overall",
2012,Bike,15,GREG AMES,Ames,Greg,,,27,ND USA,,,2012-01-30T07:00:00.0000000,2012-01-30T11:12:00.0000000,2012-01-30T11:36:00.0000000,0:24:00,2012-01-30T17:22:00.0000000,2012-01-30T18:15:00.0000000,0:53:00,,,,,,,2012-01-31T01:16:00.0000000,2012-01-31T01:29:00.0000000,0:13:00,2012-01-31T05:33:00.0000000,22:33:00,22:33:00,,
2011,Bike,12,GREG AMES,Ames,Greg,,,24,,,,2011-01-31T07:00:00.0000000,2011-01-31T11:40:00.0000000,2011-01-31T12:19:00.0000000,0:39:00,2011-01-31T18:07:00.0000000,2011-01-31T19:00:00.0000000,0:53:00,,,,,,,2011-02-28T02:49:00.0000000,2011-02-01T04:21:00.0000000,-646:28:00,2011-02-01T08:40:00.0000000,25:40:00,25:40:00,,
2014,Bike,13,GREG AMES,Ames,Greg,,,59,ND USA,,,2014-01-27T07:00:00.0000000,2014-01-27T12:03:00.0000000,2014-01-27T13:06:00.0000000,1:03:00,2014-01-27T19:09:00.0000000,2014-01-27T22:07:00.0000000,2:58:00,,,,,,,2014-01-28T12:19:00.0000000,2014-01-28T13:05:00.0000000,0:46:00,2014-01-28T16:32:00.0000000,33:32:00,33:32:00,,
2013,Bike,999,GREG AMES,Ames,Greg,,,38,ND USA,,,2013-01-28T07:00:00.0000000,2013-01-28T11:21:00.0000000,2013-01-28T11:56:00.0000000,0:35:00,2013-01-28T17:17:00.0000000,2013-01-28T18:54:00.0000000,1:37:00,,,,,,,,,,,,,Dropped at SkiPulk,
2010,Bike,,,Ames,Greg,M,29,6,,,,2010-02-01T07:03:00.0000000,2010-02-01T12:34:00.0000000,2010-02-01T13:20:00.0000000,0:46:00,2010-02-01T22:48:00.0000000,,,,,,,,,,,,,,,MelGeorges,
2015,Bike,39,"Amo, Bryon",Amo,Bryon,,,3,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T11:56:00.0000000,2015-01-26T12:10:00.0000000,0:14:00,2015-01-26T18:44:00.0000000,2015-01-26T19:11:00.0000000,0:27:00,,,,,,,2015-01-27T04:37:00.0000000,2015-01-27T04:50:00.0000000,0:13:00,2015-01-27T09:11:00.0000000,26:11:00,26:11:00,,
2022,Run,22,"Amodio, Silvia",Amodio,Silvia,,,4,ESP ESP,,,2022-01-31T07:04:00.0000000,2022-01-31T17:50:00.0000000,2022-01-31T18:30:00.0000000,0:40:00,2022-02-01T08:40:00.0000000,2022-02-01T09:40:00.0000000,1:00:00,,,,,,,2022-02-02T03:25:00.0000000,2022-02-02T05:48:00.0000000,2:23:00,2022-02-02T12:29:00.0000000,53:25:00,53:25:00,,
2015,Run,40,"Anderson, Blair",Anderson,Blair,,,4,Canada,,,2015-01-26T07:04:00.0000000,2015-01-26T18:07:00.0000000,2015-01-26T19:16:00.0000000,1:09:00,2015-01-27T08:43:00.0000000,2015-01-27T11:01:00.0000000,2:18:00,,,,,,,2015-01-28T05:35:00.0000000,2015-01-28T07:13:00.0000000,1:38:00,2015-01-28T16:48:00.0000000,57:44:00,57:44:00,,
2016,Run,999,"Anderson, Blair",Anderson,Blair,,,2,SAS CAN,,,2016-01-25T07:04:00.0000000,2016-01-25T18:31:00.0000000,2016-01-25T19:20:00.0000000,0:49:00,2016-01-26T12:07:00.0000000,,,,,,,,,,,,,,,,
2010,Foot,,,Anderson,Blair,M,56,53,,,,2010-02-01T07:03:00.0000000,2010-02-01T18:10:00.0000000,,,2010-02-02T06:54:00.0000000,2010-02-02T11:15:00.0000000,4:21:00,,,,,,,,,,,,,Crescent tipi,
2011,Run,999,D. BLAIR ANDERSON,Anderson,Blair,,,83,,,,2011-01-31T07:01:00.0000000,2011-01-31T19:10:00.0000000,2011-01-31T20:37:00.0000000,1:27:00,,,,,,,,,,,,,,,,Drop,
2015,Bike,56,"ANDERSON, RANDY",Anderson,Randy,,,5,MN USA,,,2015-01-26T07:00:00.0000000,2015-01-26T12:00:00.0000000,2015-01-26T12:38:00.0000000,0:38:00,2015-01-26T20:16:00.0000000,2015-01-27T03:03:00.0000000,6:47:00,,,,,,,2015-01-27T13:10:00.0000000,2015-01-27T13:58:00.0000000,0:48:00,2015-01-27T18:39:00.0000000,35:39:00,35:39:00,,
2012,Bike,45,RANDY ANDERSON,Anderson,Randy,,,51,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T12:37:00.0000000,2012-01-30T13:37:00.0000000,1:00:00,2012-01-30T22:22:00.0000000,2012-01-31T06:08:00.0000000,7:46:00,,,,,,,2012-01-31T17:35:00.0000000,2012-01-31T18:02:00.0000000,0:27:00,2012-01-31T23:37:00.0000000,40:37:00,40:37:00,Actual finish was 22:37 but incurred 1 hr penalty due to (accidental) loss of equipment,
2013,Bike,999,RANDY ANDERSON,Anderson,Randy,,,74,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T13:27:00.0000000,2013-01-28T14:14:00.0000000,0:47:00,2013-01-28T21:15:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2012,Run,28,RYAN ANDERSON,Anderson,Ryan,,,120,MANITOBA CANADA,,,2012-01-30T07:04:00.0000000,2012-01-30T18:59:00.0000000,2012-01-30T20:48:00.0000000,1:49:00,2012-01-31T12:20:00.0000000,2012-01-31T13:56:00.0000000,1:36:00,,,,,,,2012-02-01T09:48:00.0000000,2012-02-01T10:20:00.0000000,0:32:00,2012-02-01T19:03:00.0000000,59:59:00,59:59:00,Incurred +10 min penalty due to change of equipment.,
2011,Run,999,RYAN ANDERSON,Anderson,Ryan,,,126,,,,2011-01-31T07:01:00.0000000,2011-01-31T18:20:00.0000000,2011-01-31T20:47:00.0000000,2:27:00,,,,,,,,,,,,,,,,Dropped,
2010,Foot,,,Anderson,Ryan,M,31,54,,,,2010-02-01T07:03:00.0000000,2010-02-01T17:46:00.0000000,,,2010-02-02T08:26:00.0000000,2010-02-02T10:54:00.0000000,2:28:00,,,,,,,,,,,,,MelGeorges,
2023,Bike,22,"Anderson, Zachary",Anderson,Zachary,,,4,USA/MN,,,2023-01-30T07:00:00.0000000,2023-01-30T12:02:00.0000000,2023-01-30T12:25:00.0000000,0:23:00,2023-01-30T17:57:00.0000000,2023-01-30T19:40:00.0000000,1:43:00,,,,,,,2023-01-31T04:19:00.0000000,2023-01-31T06:21:00.0000000,2:02:00,2023-01-31T10:32:00.0000000,,27:32:00,,
2010,Bike,,,Andre,Lance,M,40,33,,,,2010-02-01T07:03:00.0000000,2010-02-01T10:54:00.0000000,2010-02-01T10:54:00.0000000,0:00:00,2010-02-01T15:00:00.0000000,2010-02-01T15:31:00.0000000,0:31:00,,,,,2010-02-01T21:20:00.0000000,,2010-02-01T21:38:00.0000000,2010-02-02T00:00:00.0000000,2:22:00,,16:57:00,,,
2009,Bike,,,Andre,Lance,M,39,9,,,,2009-02-02T08:15:00.0000000,2009-02-02T12:02:00.0000000,2009-02-02T12:07:00.0000000,0:05:00,2009-02-02T16:45:00.0000000,2009-02-02T17:30:00.0000000,0:45:00,,,,,,,,,,2009-02-03T12:09:00.0000000,27:54:00,27:54:00,DQ,
2008,Bike,,,Andre,Lance,M,38,31,,,,2008-02-04T07:20:00.0000000,2008-02-04T12:09:00.0000000,2008-02-04T12:15:00.0000000,0:06:00,2008-02-05T04:29:00.0000000,2008-02-05T04:29:00.0000000,0:00:00,,,,,,,,,,2008-02-05T16:15:00.0000000,32:55:00,32:55:00,,
2011,Bike,6,LANCE ANDRE,Andre,Lance,,,2,,,,2011-01-31T07:00:00.0000000,2011-01-31T10:55:00.0000000,2011-01-31T10:58:00.0000000,0:03:00,2011-01-31T15:03:00.0000000,2011-01-31T15:13:00.0000000,0:10:00,,,,,,,2011-01-31T21:22:00.0000000,2011-01-31T23:52:00.0000000,2:30:00,2011-02-01T02:38:00.0000000,19:38:00,19:38:00,,
2013,Bike,27,LANCE ANDRE,Andre,Lance,,,60,IA USA,,,2013-01-28T07:00:00.0000000,2013-01-28T11:28:00.0000000,2013-01-28T11:35:00.0000000,0:07:00,2013-01-28T16:29:00.0000000,2013-01-28T17:15:00.0000000,0:46:00,,,,,,,2013-01-29T01:32:00.0000000,2013-01-29T02:26:00.0000000,0:54:00,2013-01-29T13:11:00.0000000,30:11:00,30:11:00,,
2020,Run,8,"Andrews, Tim",Andrews,Tim,,,3,MN USA,,,2020-01-27T07:04:00.0000000,2020-01-27T16:40:00.0000000,2020-01-27T16:55:00.0000000,0:15:00,2020-01-28T03:15:00.0000000,2020-01-28T06:01:00.0000000,2:46:00,,,,,,,2020-01-28T18:47:00.0000000,2020-01-28T18:53:00.0000000,0:06:00,2020-01-29T02:16:00.0000000,43:12:00,43:12:00,,
2012,Run,22,STEVE ANSELL,Ansell,Steve,,,124,CA USA,,,2012-01-30T07:04:00.0000000,2012-01-30T18:09:00.0000000,2012-01-30T18:45:00.0000000,0:36:00,2012-01-31T10:14:00.0000000,2012-01-31T11:00:00.0000000,0:46:00,,,,,,,2012-02-01T07:01:00.0000000,2012-02-01T07:41:00.0000000,0:40:00,2012-02-01T15:56:00.0000000,56:52:00,56:52:00,,
2014,Run,999,Steve Ansell,Ansell,Steve,,,149,CA USA,,,2014-01-27T07:04:00.0000000,2014-01-27T19:13:00.0000000,2014-01-27T20:24:00.0000000,1:11:00,2014-01-28T11:30:00.0000000,2014-01-28T12:48:00.0000000,1:18:00,,,,,,,,,,,,,Dropped at MelGeorge (returned),
2010,Foot,,,Appert,John,M,31,55,,,,2010-02-01T07:03:00.0000000,2010-02-01T19:25:00.0000000,,,2010-02-02T11:13:00.0000000,,,,,,,,,,,,,,,MelGeorges,
2017,Bike,64,"Archibald, Geoffrey",Archibald,Geoffrey,,,2,MN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T11:10:00.0000000,2017-01-30T11:19:00.0000000,0:09:00,2017-01-30T17:08:00.0000000,2017-01-30T23:25:00.0000000,6:17:00,,,,,,,2017-01-31T10:17:00.0000000,2017-01-31T10:33:00.0000000,0:16:00,2017-01-31T15:13:00.0000000,32:13:00,32:13:00,,
2012,Bike,999,GEOFFREY ARCHIBALD,Archibald,Geoffrey,,,26,MN USA,,,2012-01-30T07:00:00.0000000,2012-01-30T12:49:00.0000000,2012-01-30T13:18:00.0000000,0:29:00,2012-01-30T22:24:00.0000000,2012-01-31T06:37:00.0000000,8:13:00,,,,,,,,,,,,,,
2013,Bike,999,GEOFFREY ARCHIBALD,Archibald,Geoffrey,,,36,MN USA,,,2013-01-28T07:00:00.0000000,2013-01-28T13:35:00.0000000,2013-01-28T14:09:00.0000000,0:34:00,2013-01-28T20:46:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2014,Bike,999,GEOFFREY ARCHIBALD,Archibald,Geoffrey,,,58,MN USA,,,2014-01-27T07:00:00.0000000,2014-01-27T16:52:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway - mech,
2010,Bike,,,Arel,Christian,M,17,56,,,,2010-02-01T07:03:00.0000000,2010-02-01T14:10:00.0000000,2010-02-01T16:05:00.0000000,1:55:00,,,,,,,,2010-02-02T22:31:00.0000000,,2010-02-03T09:05:00.0000000,2010-02-03T12:02:00.0000000,2:57:00,,52:59:00,,Youngest finisher,
2018,Bike,31,"Arenz, Devin",Arenz,Devin,,,2,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T10:42:00.0000000,2018-01-29T10:42:00.0000000,0:00:00,2018-01-29T16:49:00.0000000,2018-01-29T19:07:00.0000000,2:18:00,,,,,,,2018-01-30T02:13:00.0000000,2018-01-30T05:10:00.0000000,2:57:00,2018-01-30T09:04:00.0000000,26:02:00,26:02:00,,
2015,Bike,8,"Armano, Nick",Armano,Nick,,,6,CO USA,,,2015-01-26T07:00:00.0000000,2015-01-26T10:33:00.0000000,2015-01-26T10:41:00.0000000,0:08:00,2015-01-26T15:02:00.0000000,2015-01-26T15:10:00.0000000,0:08:00,,,,,,,2015-01-26T21:12:00.0000000,2015-01-26T21:17:00.0000000,0:05:00,2015-01-26T23:51:00.0000000,16:51:00,16:51:00,,
2009,Ski,,,Arms,Brian,M,26,36,,,,2009-02-02T07:36:00.0000000,2009-02-02T17:45:00.0000000,2009-02-02T18:45:00.0000000,1:00:00,,,,,,,,,,,,,,,,DNF,
2008,Foot,,,Arnold,Michael,M,24,32,,,,,,,,,,,,,,,,,,,,,,,No Start DNS,
2013,Bike,999,TIM ARNOLD,Arnold,Tim,,,90,NM USA,,,2013-01-28T07:00:00.0000000,2013-01-28T14:37:00.0000000,2013-01-28T15:58:00.0000000,1:21:00,2013-01-29T14:00:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2022,Bike,23,"Aspras, Jimmy",Aspras,Jimmy,,,8,NJ USA,,,2022-01-31T07:00:00.0000000,2022-01-31T11:26:00.0000000,2022-01-31T11:26:00.0000000,0:00:00,2022-01-31T17:40:00.0000000,2022-01-31T19:00:00.0000000,1:20:00,,,,,,,2022-02-01T03:55:00.0000000,2022-02-01T03:55:00.0000000,0:00:00,2022-02-01T08:08:00.0000000,25:08:00,25:08:00,,TRUE
2018,Bike,50,"Aspras, Jimmy",Aspras,Jimmy,,,3,NJ USA,,,2018-01-29T07:02:00.0000000,2018-01-29T12:03:00.0000000,2018-01-29T12:30:00.0000000,0:27:00,2018-01-29T18:20:00.0000000,2018-01-30T07:42:00.0000000,13:22:00,,,,,,,2018-01-30T15:16:00.0000000,2018-01-30T16:06:00.0000000,0:50:00,2018-01-30T20:55:00.0000000,37:53:00,37:53:00,,
2019,Bike,38,"Attwood, Gavin",Attwood,Gavin,,,103,CO USA,,,2019-01-28T07:00:00.0000000,2019-01-28T12:20:00.0000000,2019-01-28T12:55:00.0000000,0:35:00,2019-01-28T19:34:00.0000000,2019-01-29T06:52:00.0000000,11:18:00,,,,,,,2019-01-29T17:12:00.0000000,2019-01-29T19:33:00.0000000,2:21:00,2019-01-30T01:30:00.0000000,42:30:00,42:30:00,,
2018,Bike,999,"Attwood, Gavin",Attwood,Gavin,,,4,CO USA,,,2018-01-29T07:02:00.0000000,2018-01-29T12:16:00.0000000,2018-01-29T13:30:00.0000000,1:14:00,2018-01-29T19:39:00.0000000,2018-01-29T23:07:00.0000000,3:28:00,,,,,,,2018-01-30T12:34:00.0000000,,,,,,Drop at Surly,
2009,Bike,,,Austin,Joel,M,29,37,,,,2009-02-02T08:25:00.0000000,2009-02-02T16:10:00.0000000,2009-02-02T16:45:00.0000000,0:35:00,2009-02-03T04:07:00.0000000,2009-02-03T08:15:00.0000000,4:08:00,,,,,,,,,,2009-02-04T00:06:00.0000000,39:41:00,39:41:00,"12B, 12th overall",
2011,Bike,24,JOEL AUSTIN,Austin,Joel,,,34,,,,2011-01-31T07:00:00.0000000,2011-01-31T13:26:00.0000000,2011-01-31T13:26:00.0000000,0:00:00,2011-01-31T20:44:00.0000000,2011-01-31T22:13:00.0000000,1:29:00,,,,,,,2011-02-01T11:00:00.0000000,2011-02-01T12:33:00.0000000,1:33:00,2011-02-01T16:30:00.0000000,33:30:00,33:30:00,,
2013,Bike,999,JOEL AUSTIN,Austin,Joel,,,51,WI USA,,,2013-01-28T07:00:00.0000000,2013-01-28T15:34:00.0000000,2013-01-28T16:49:00.0000000,1:15:00,2013-01-29T13:05:00.0000000,,,,,,,,,,,,,,,Dropped at MelGeorge,
2015,Bike,999,"Austin, Joel",Austin,Joel,,,7,WI USA,,,2015-01-26T07:00:00.0000000,2015-01-26T14:11:00.0000000,2015-01-26T15:16:00.0000000,1:05:00,2015-01-27T02:14:00.0000000,,,,,,,,,,,,,,,dropped at MelGeorge,
2016,Run,999,"Austin, Simone",Austin,Simone,,,3,FL USA,,,2016-01-25T07:04:00.0000000,2016-01-25T19:11:00.0000000,2016-01-25T20:08:00.0000000,0:57:00,2016-01-26T12:42:00.0000000,2016-01-26T12:53:00.0000000,0:11:00,,,,,,,,,,,,,just b/f Surly,
2017,Run,0,"Austin, Simone",Austin,Simone,,,3,FL USA,,,2017-01-30T07:04:00.0000000,2017-01-30T18:43:00.0000000,2017-01-30T19:54:00.0000000,1:11:00,,,,,,,,,,,,,,,,Drop at MelGeorges,
2020,Bike,71,"Baccelli, Frank",Baccelli,Frank,,,4,CA USA,,,2020-01-27T07:00:00.0000000,2020-01-27T12:48:00.0000000,2020-01-27T13:57:00.0000000,1:09:00,2020-01-27T22:51:00.0000000,2020-01-28T06:00:00.0000000,7:09:00,,,,,,,2020-01-28T18:27:00.0000000,2020-01-28T19:35:00.0000000,1:08:00,2020-01-29T02:08:00.0000000,43:08:00,43:08:00,,
2019,Bike,999,"Baccelli, Frank",Baccelli,Frank,,,4,CA USA,,,2019-01-28T07:00:00.0000000,2019-01-28T14:25:00.0000000,2019-01-28T15:45:00.0000000,1:20:00,2019-01-29T03:15:00.0000000,,,,,,,,,,,,,,,,
2018,Run,999,"Bahr, Bob",Bahr,Bob,,,5,MN USA,,,2018-01-29T07:06:00.0000000,2018-01-29T14:45:00.0000000,2018-01-29T14:49:00.0000000,0:04:00,2018-01-30T00:51:00.0000000,,,,,,,,,,,,,,,Dropped at Mel George,
2020,Run,999,"Bahr, Bob",Bahr,Bob,,,5,MN USA,,,2020-01-27T07:04:00.0000000,2020-01-27T15:20:00.0000000,2020-01-27T15:30:00.0000000,0:10:00,,,,,,,,,,,,,,,,b/f MelGeorges,
2015,Run,4,"BAILEY, Steven",Bailey,Steven,,,8,MN USA,,,2015-01-26T07:04:00.0000000,2015-01-26T14:52:00.0000000,2015-01-26T15:17:00.0000000,0:25:00,2015-01-27T00:35:00.0000000,2015-01-27T01:14:00.0000000,0:39:00,,,,,,,2015-01-27T14:21:00.0000000,2015-01-27T14:37:00.0000000,0:16:00,2015-01-27T22:19:00.0000000,39:15:00,39:15:00,,
2013,Run,999,STEVEN BAILEY,Bailey,Steven,,,142,MN USA,,,2013-01-28T07:04:00.0000000,2013-01-28T17:16:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway - physical,
2018,Run,999,"Baluchi, Reza",Baluchi,Reza,,,6,FL USA,,,2018-01-29T07:06:00.0000000,2018-01-29T18:32:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,TRUE
2012,Run,999,REZA BALUCHI,Baluchi,Reza,,,114,CA USA,,,2012-01-30T07:04:00.0000000,2012-01-30T17:33:00.0000000,2012-01-30T18:39:00.0000000,1:06:00,,,,,,,,,,,,,,,,DNF at MelGeorge,
2018,Run,999,"Bandieri, Rachel Frei",Bandieri,Rachel Frei,,,7,SUI,,,2018-01-29T07:06:00.0000000,2018-01-29T16:34:00.0000000,2018-01-29T19:51:00.0000000,3:17:00,2018-01-30T02:25:00.0000000,,,,,,,,,,,,,,,Drop at Sheep Ranch Rd,
2017,Bike,13,"Barclay, Kurtis",Barclay,Kurtis,,,4,MN USA,,,2017-01-30T07:00:00.0000000,2017-01-30T09:59:00.0000000,2017-01-30T09:59:00.0000000,0:00:00,2017-01-30T14:00:00.0000000,2017-01-30T14:22:00.0000000,0:22:00,,,,,,,2017-01-30T19:50:00.0000000,2017-01-30T20:01:00.0000000,0:11:00,2017-01-30T23:41:00.0000000,16:41:00,16:41:00,,
2016,Bike,39,"Barclay, Kurtis",Barclay,Kurtis,,,4,MN USA,,,2016-01-25T07:00:00.0000000,2016-01-25T11:43:00.0000000,2016-01-25T12:26:00.0000000,0:43:00,2016-01-25T19:51:00.0000000,2016-01-25T22:50:00.0000000,2:59:00,,,,,,,2016-01-26T13:30:00.0000000,2016-01-26T13:51:00.0000000,0:21:00,2016-01-26T18:47:00.0000000,35:47:00,35:47:00,,
2018,Bike,999,"Barclay, Kurtis",Barclay,Kurtis,,,8,MN USA,,,2018-01-29T07:02:00.0000000,2018-01-29T11:17:00.0000000,,,,,,,,,,,,,,,,,,Dropped at Gateway,
2022,Run,999,"Barnes, Shaun",Barnes,Shaun,,,181,,,,2022-01-31T07:04:00.0000000,2022-01-31T18:35:00.0000000,2022-01-31T19:35:00.0000000,1:00:00,2022-02-01T10:55:00.0000000,,,,,,,,,,,,,,,,
